Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date
407,155,5,Meeting,1,2025-02-05
408,69,4,Testing,12,2025-03-24
409,147,3,Bug Fixing,9,2025-03-10
410,68,5,Bug Fixing,7,2025-02-15
411,135,5,Code Review,9,2025-02-12
412,162,4,Database Optimization,2,2025-02-07
413,71,1,Testing,12,2025-02-24
414,96,4,Feature Development,11,2025-02-25
415,68,3,Feature Development,1,2025-02-09
416,73,2,Feature Development,3,2025-01-28
417,138,2,Design Review,2,2025-01-23
418,41,3,UI Enhancement,10,2025-02-24
419,143,3,Performance Testing,10,2025-02-14
420,12,2,Feature Development,9,2025-02-09
421,183,3,Feature Development,8,2025-01-09
422,60,1,Database Optimization,2,2025-01-21
423,162,5,Bug Fixing,9,2025-03-20
424,150,2,UI Enhancement,1,2025-01-07
425,67,2,Testing,12,2025-01-04
426,54,1,UI Enhancement,1,2025-02-05
427,176,5,Meeting,12,2025-01-13
428,110,2,Feature Development,9,2025-01-26
429,124,3,Bug Fixing,9,2025-03-25
430,22,2,UI Enhancement,11,2025-02-20
431,158,3,Security Patching,11,2025-01-26
432,175,4,UI Enhancement,10,2025-01-23
433,184,2,UI Enhancement,5,2025-01-04
434,146,3,Design Review,7,2025-02-14
435,159,2,Performance Testing,8,2025-03-04
436,158,1,Security Patching,8,2025-03-06
437,101,5,Feature Development,10,2025-02-18
438,170,3,Meeting,9,2025-02-17
439,190,3,Bug Fixing,7,2025-03-13
440,149,1,Bug Fixing,3,2025-03-03
441,67,2,Meeting,2,2025-02-21
442,21,3,Performance Testing,4,2025-01-14
443,10,1,Design Review,9,2025-02-13
444,59,2,Meeting,7,2025-01-17
445,98,3,Code Review,5,2025-03-07
446,149,5,Database Optimization,8,2025-01-26
447,179,5,Database Optimization,9,2025-01-22
448,58,1,Database Optimization,10,2025-02-08
449,165,1,Meeting,12,2025-01-22
450,5,1,Feature Development,9,2025-02-15
451,15,2,Database Optimization,11,2025-02-12
452,26,5,Performance Testing,8,2025-02-23
453,109,2,Testing,2,2025-01-24
454,165,1,Bug Fixing,8,2025-03-07
455,120,4,Performance Testing,10,2025-01-13
456,198,2,Testing,6,2025-03-23
457,80,1,Design Review,1,2025-02-12
458,61,2,UI Enhancement,2,2025-03-06
459,139,4,Database Optimization,9,2025-02-01
460,95,3,UI Enhancement,2,2025-03-21
461,9,1,Performance Testing,8,2025-03-14
462,135,3,Bug Fixing,8,2025-03-27
463,164,1,Bug Fixing,7,2025-02-20
464,107,2,Meeting,8,2025-01-21
465,63,2,UI Enhancement,1,2025-01-31
466,76,2,Code Review,5,2025-01-30
467,16,1,Design Review,11,2025-01-04
468,123,3,Code Review,3,2025-02-26
469,154,4,Feature Development,7,2025-01-15
470,56,1,Feature Development,5,2025-03-28
471,163,2,Testing,10,2025-01-24
472,69,1,Code Review,9,2025-03-14
473,167,4,Meeting,6,2025-01-31
474,84,3,Design Review,11,2025-03-05
475,150,3,Design Review,5,2025-02-01
476,166,2,Testing,3,2025-03-07
477,140,1,Meeting,4,2025-03-02
478,78,5,Bug Fixing,4,2025-01-02
479,113,3,Code Review,8,2025-02-17
480,27,5,Security Patching,6,2025-01-05
481,188,1,Design Review,2,2025-03-25
482,138,1,Security Patching,8,2025-02-10
483,165,1,Testing,12,2025-02-09
484,118,5,Code Review,6,2025-01-09
485,51,3,Security Patching,2,2025-02-10
486,172,1,Feature Development,1,2025-03-12
487,122,5,Performance Testing,5,2025-01-11
488,133,3,UI Enhancement,10,2025-02-24
489,70,2,Security Patching,7,2025-03-26
490,13,1,Code Review,12,2025-03-25
491,133,4,Meeting,10,2025-03-06
492,91,2,Performance Testing,1,2025-01-11
493,18,1,Bug Fixing,3,2025-01-27
494,41,4,Code Review,7,2025-02-03
495,175,1,Database Optimization,4,2025-01-09
496,67,4,Code Review,10,2025-03-10
497,36,4,Testing,3,2025-02-11
498,135,5,Meeting,9,2025-02-02
499,109,4,Design Review,9,2025-02-14
500,135,2,Testing,10,2025-03-07
501,11,4,Testing,12,2025-02-02
502,3,2,Testing,7,2025-01-29
503,127,4,Feature Development,8,2025-03-24
504,162,3,Database Optimization,10,2025-03-19
505,68,4,Meeting,4,2025-01-04
506,177,1,Performance Testing,8,2025-01-12
507,184,5,UI Enhancement,11,2025-02-15
508,143,1,Database Optimization,10,2025-02-28
509,129,2,Meeting,2,2025-02-04
510,196,4,Design Review,2,2025-02-19
511,34,2,Security Patching,11,2025-03-12
512,13,3,Bug Fixing,6,2025-03-05
513,89,2,Security Patching,4,2025-02-28
514,140,5,Database Optimization,11,2025-02-13
515,173,4,UI Enhancement,2,2025-03-25
516,177,2,Security Patching,5,2025-01-04
517,66,5,Feature Development,1,2025-03-26
518,80,3,Meeting,2,2025-03-28
519,15,2,Testing,8,2025-03-24
520,43,2,Feature Development,5,2025-01-28
521,184,5,Security Patching,3,2025-03-09
522,36,4,UI Enhancement,12,2025-03-04
523,187,5,Bug Fixing,11,2025-02-11
524,121,2,Code Review,7,2025-02-19
525,19,1,Bug Fixing,4,2025-03-18
526,188,2,Testing,4,2025-02-08
527,83,3,Feature Development,6,2025-03-20
528,42,3,Security Patching,6,2025-02-11
529,96,5,Code Review,12,2025-02-01
530,178,5,Testing,4,2025-02-12
531,60,2,UI Enhancement,5,2025-02-14
532,79,2,Performance Testing,5,2025-02-21
533,199,1,Security Patching,3,2025-03-01
534,124,3,Performance Testing,4,2025-01-13
535,102,2,Code Review,11,2025-02-07
536,89,1,Bug Fixing,12,2025-03-03
537,181,4,Feature Development,8,2025-03-28
538,136,1,Database Optimization,7,2025-03-12
539,94,1,Meeting,12,2025-01-16
540,121,2,Meeting,12,2025-01-06
541,127,3,Performance Testing,7,2025-03-24
542,157,1,UI Enhancement,3,2025-03-20
543,152,1,Design Review,12,2025-01-01
544,115,4,Database Optimization,8,2025-03-19
545,70,3,UI Enhancement,6,2025-01-05
546,86,1,Meeting,9,2025-02-02
547,115,5,Feature Development,11,2025-03-15
548,146,2,Feature Development,10,2025-01-16
549,110,5,Testing,4,2025-01-11
550,67,3,Database Optimization,5,2025-01-31
551,28,2,Performance Testing,3,2025-01-12
552,61,4,Performance Testing,6,2025-03-24
553,138,3,Feature Development,5,2025-03-05
554,177,3,Database Optimization,12,2025-01-05
555,77,2,Meeting,8,2025-01-26
556,109,4,Code Review,11,2025-01-28
557,128,4,Bug Fixing,2,2025-02-08
558,171,4,UI Enhancement,2,2025-03-05
559,115,3,Database Optimization,7,2025-03-15
560,56,2,UI Enhancement,1,2025-02-27
561,66,2,Design Review,5,2025-02-12
562,162,3,UI Enhancement,9,2025-02-16
563,59,4,Testing,3,2025-03-18
564,124,3,Database Optimization,3,2025-01-19
565,71,3,Design Review,9,2025-01-03
566,12,1,UI Enhancement,3,2025-01-21
567,175,5,Bug Fixing,8,2025-03-03
568,92,2,Feature Development,4,2025-01-18
569,10,5,Feature Development,4,2025-03-18
570,65,5,Database Optimization,11,2025-03-04
571,126,1,Design Review,7,2025-02-12
572,94,5,UI Enhancement,3,2025-03-25
573,6,1,Feature Development,10,2025-01-03
574,2,4,Performance Testing,8,2025-02-21
575,2,5,Meeting,12,2025-03-01
576,16,4,Database Optimization,4,2025-01-01
577,91,1,Code Review,9,2025-03-14
578,191,2,Feature Development,9,2025-03-01
579,97,4,UI Enhancement,3,2025-03-18
580,152,1,Meeting,12,2025-03-09
581,7,2,Performance Testing,10,2025-02-22
582,169,4,Database Optimization,7,2025-02-21
583,46,4,Bug Fixing,12,2025-01-08
584,193,1,Bug Fixing,3,2025-03-16
585,114,5,Testing,10,2025-03-28
586,135,5,Meeting,3,2025-03-19
587,181,1,Meeting,5,2025-02-07
588,90,3,Security Patching,10,2025-03-13
589,34,1,Security Patching,7,2025-01-09
590,51,3,Meeting,9,2025-01-05
591,106,2,Testing,3,2025-02-27
592,118,5,Feature Development,6,2025-03-24
593,39,5,Performance Testing,1,2025-02-09
594,42,4,Feature Development,10,2025-02-05
595,140,4,Database Optimization,10,2025-01-04
596,97,2,Security Patching,6,2025-03-17
597,23,2,Meeting,8,2025-01-04
598,105,2,Meeting,10,2025-01-31
599,156,5,Feature Development,3,2025-01-01
600,6,2,Bug Fixing,5,2025-01-16
601,107,4,Design Review,7,2025-03-26
602,179,1,UI Enhancement,3,2025-02-09
603,150,2,Bug Fixing,2,2025-02-27
604,45,2,Feature Development,7,2025-01-26
605,13,1,Bug Fixing,2,2025-01-03
606,4,3,Performance Testing,7,2025-01-20
607,56,1,Design Review,6,2025-03-04
608,148,1,Security Patching,4,2025-01-11
609,70,5,Bug Fixing,2,2025-01-25
610,22,4,Feature Development,6,2025-01-18
611,132,3,Meeting,4,2025-01-18
612,193,4,Database Optimization,2,2025-02-15
613,103,4,Testing,9,2025-02-12
614,56,2,Performance Testing,10,2025-01-31
615,181,5,Performance Testing,9,2025-02-23
616,181,1,Bug Fixing,9,2025-01-05
617,34,2,Feature Development,5,2025-01-28
618,175,4,Database Optimization,2,2025-02-07
619,89,5,Code Review,9,2025-03-07
620,170,4,Security Patching,9,2025-03-22
621,45,3,Security Patching,11,2025-03-20
622,160,5,Meeting,9,2025-01-04
623,51,3,Testing,6,2025-02-08
624,119,1,UI Enhancement,3,2025-02-05
625,121,1,Testing,12,2025-01-25
626,121,5,UI Enhancement,11,2025-02-04
627,82,2,Testing,5,2025-03-12
628,71,2,Bug Fixing,3,2025-02-08
629,131,4,Design Review,12,2025-01-05
630,175,4,Meeting,12,2025-02-08
631,103,1,Design Review,2,2025-03-16
632,80,1,Testing,5,2025-01-16
633,36,1,Feature Development,7,2025-03-26
634,137,2,Security Patching,5,2025-01-17
635,37,5,Design Review,12,2025-02-19
636,178,1,Security Patching,6,2025-03-14
637,144,5,UI Enhancement,12,2025-01-08
638,95,1,Database Optimization,8,2025-01-11
639,165,5,UI Enhancement,9,2025-03-05
640,105,2,Code Review,10,2025-01-05
641,73,2,Bug Fixing,6,2025-01-29
642,36,3,Design Review,1,2025-01-23
643,145,1,UI Enhancement,1,2025-03-18
644,50,4,Code Review,8,2025-03-04
645,150,2,Performance Testing,3,2025-02-27
646,144,5,Meeting,10,2025-01-07
647,52,1,Database Optimization,9,2025-01-31
648,127,1,Database Optimization,1,2025-03-24
649,172,3,Feature Development,2,2025-03-03
650,62,5,Bug Fixing,9,2025-03-21
651,97,4,UI Enhancement,3,2025-01-22
652,87,5,Code Review,12,2025-03-08
653,85,2,Database Optimization,6,2025-01-18
654,13,5,Meeting,6,2025-01-30
655,182,1,Design Review,11,2025-03-24
656,163,2,Performance Testing,2,2025-01-17
657,125,1,UI Enhancement,12,2025-03-03
658,130,2,Feature Development,2,2025-02-28
